Original Query,Query,Roberta Formality Ranking Score,Concreteness Score,Linguistic Formality Score,Readability,possible_answers
Where was Israel Kleiner educated?,"Hey, where did that dude Israel Kleiner go to school?",0.178139641880989,2.2785714285714285,66.66666666666667,95.165,['Yale University']
Where was George William Lyttelton educated?,"So, like, where did George William Lyttelton go to school?",0.2284517884254455,1.687142857142857,57.69230769230769,86.70500000000001,['Eton College']
Where was Toby Shapshak educated?,"Hey, where’d Toby Shapshak go to school, like, for real?",0.0946876779198646,1.50875,75.0,95.68818181818185,['Rhodes University']
Where was Daud Kamal educated?,"So, like, where did Daud Kamal go to school?",0.1760405153036117,1.968333333333333,54.166666666666664,103.70000000000002,['University of Cambridge']
Where was Sarah McBride educated?,"Hey, where'd Sarah McBride go to school?",0.383045881986618,1.914,55.0,103.54,['American University']
Where was Dhan Gopal Mukerji educated?,"Hey, so like, where did Dhan Gopal Mukerji go to school?",0.1476505249738693,1.717142857142857,67.85714285714286,87.99727272727276,['Scottish Church Collegiate School']
Where was Leonora A. Hohl educated?,"So, like, where did Leonora A. Hohl go to school, ya know?",0.0258491095155477,1.4988888888888887,56.25,102.045,['University of Michigan']
Where was Marion Perry Maus educated?,"Hey, so like, where did Marion Perry Maus go to school?",0.137661874294281,1.717142857142857,67.85714285714286,95.68818181818185,['United States Military Academy']
Where was Rhyu Si-min educated?,"Yo, where did Rhyu Si-min go to school?",0.3685777485370636,1.731666666666667,50.0,113.10000000000002,['Seoul National University']
Where was Chris Sanders educated?,"Yo, where did Chris Sanders go to school?",0.276905745267868,1.731666666666667,60.0,103.54,['Ohio State University']
Where was Jim Meddick educated?,"So, like, where did Jim Meddick go to school? ",0.2439673095941543,1.968333333333333,54.166666666666664,108.2675,['Washington University in St.\xa0Louis']
Where was Jules Pasdeloup educated?,"So, like, where did Jules Pasdeloup go to school, ya know?",0.0314271226525306,1.6862499999999998,53.333333333333336,87.99727272727276,['Conservatoire de Paris']
Where was Kenneth Haworth educated?,"Hey, so like, where did Kenneth Haworth go to school?",0.1432757079601287,2.0033333333333334,65.38461538461539,95.165,['Cheltenham College']
Where was Mehmet Ali Şahin educated?,"Hey, so like, where did Mehmet Ali Şahin go to school?",0.1449633985757827,1.717142857142857,67.85714285714286,87.99727272727276,['Istanbul University']
Where was Robert Obojski educated?,"Hey, so like, where did Robert Obojski go to school?",0.1655884385108947,2.0033333333333334,65.38461538461539,86.70500000000001,['Case Western Reserve University']
Where was James A. Lantz educated?,"So, like, where did James A. Lantz go to school?",0.1873418986797332,1.687142857142857,57.69230769230769,108.70000000000002,['Denison University']
Where was Stacey B. Day educated?,"So, like, where did Stacey B. Day go to school?",0.1764979809522628,2.2471428571428573,57.14285714285714,108.70000000000002,['McGill University']
Where was Edmund Peiris educated?,"Hey, so like, where did that dude Edmund Peiris go to school?",0.0965352952480316,2.2785714285714285,70.0,95.955,"['Royal College, Colombo']"
Where was Andy McKenzie educated?,"So, like, where did Andy McKenzie go to school?",0.1674393564462661,1.968333333333333,54.166666666666664,103.70000000000002,['West Virginia University']
"Where was Sir Henry de Vic, 1st Baronet educated?","Hey, so like, where did Sir Henry de Vic, that 1st Baronet dude, go to school?",0.0995111539959907,2.3812499999999996,71.42857142857143,90.1325,['Christ Church']
Where was Felix Reginald Dias Bandaranaike II educated?,"Hey, so like, where did Felix Reginald Dias Bandaranaike II go to school and stuff?",0.1734097152948379,1.6833333333333331,72.22222222222223,73.17000000000003,['University of Cambridge']
Where was Samuel Warren Hamilton educated?,"So, like, where did Samuel Warren Hamilton go to school?",0.2415646612644195,1.687142857142857,57.69230769230769,78.24500000000002,['Columbia University College of Physicians and Surgeons']
Where was Allen Sheppard educated?,"Yo, where did Allen Sheppard go to school?",0.2513284981250763,1.731666666666667,60.0,92.965,['London School of Economics and Political Science']
Where was Alexander L. Baugh educated?,"Yo, where did Alexander L. Baugh go to school?",0.3824936151504516,1.731666666666667,63.63636363636363,89.46750000000003,['Utah State University']
Where was H. Ross Hume educated?,"So, like, where did H. Ross Hume go to school, ya know?",0.0201258715242147,1.4988888888888887,56.25,116.145,['University of Michigan']
Where was Steve Kelley educated?,"So, like, where did Steve Kelley go to school?",0.1664748787879943,1.968333333333333,54.166666666666664,103.70000000000002,['Williams College']
Where was Betty Lowman Carey educated?,"So, like, where did Betty Lowman Carey go to school?",0.170138269662857,1.687142857142857,57.69230769230769,86.70500000000001,['University of Washington']
Where was Carl Tracy Hawley educated?,"Yo, where did Carl Tracy Hawley go to school?",0.3365114331245422,1.4842857142857144,63.63636363636363,94.3,['Cornell University']
Where was Phoebe Carrai educated?,"So, like, where did Phoebe Carrai go to school?",0.182313397526741,1.968333333333333,54.166666666666664,103.70000000000002,['New England Conservatory of Music']
Where was William Jackson educated?,"Hey, so like, where did William Jackson go to school?",0.1641269028186798,2.0033333333333334,65.38461538461539,95.165,['Balliol College']
Where was Kyle Bosworth educated?,"Hey, so like, where did Kyle Bosworth go to school?",0.1513814926147461,2.0033333333333334,65.38461538461539,103.625,['Plano West Senior High School']
Where was Reuben Fine educated?,"Yo, where did Reuben Fine go to school?",0.3347668647766113,2.1666666666666665,60.0,103.54,['University of Southern California']
Where was Fred Winchester Sladen educated?,"Hey, so like, where did Fred Winchester Sladen go to school?",0.1316757500171661,1.717142857142857,67.85714285714286,87.99727272727276,['United States Military Academy']
Where was Li Xiaolin educated?,"Yo, where did Li Xiaolin go to school?",0.3274239003658294,1.731666666666667,60.0,103.54,['Tsinghua University']
Where was Hans-Christian Vadseth educated?,"Hey, where did Hans-Christian Vadseth hit the books?",0.2029999196529388,1.3650000000000002,65.0,94.3,['University of Georgia']
Where was Talbot Dilworth-Harrison educated?,"So like, where did Talbot Dilworth-Harrison go to school?",0.1838245540857315,1.968333333333333,54.54545454545454,78.24500000000002,['Ripon College Cuddesdon']
Where was Laurie Gwen Shapiro educated?,"Hey, so like, where did Laurie Gwen Shapiro go to school?",0.1513236910104751,1.717142857142857,67.85714285714286,95.68818181818185,['Stuyvesant High School']
Where was Stephen Jessel educated?,"Hey, so like, where did Stephen Jessel go to school, you know?",0.1289997696876526,1.957142857142857,56.25,95.955,['Dragon School']
Where was Fred R. Gowans educated?,"Yo, where did Fred R. Gowans go to school?",0.2922058999538421,1.4842857142857144,63.63636363636363,108.2675,['Brigham Young University']
Where was Kyaw Tint Swe educated?,"Hey, so like, where did Kyaw Tint Swe go to school?",0.1125493273139,2.2885714285714287,67.85714285714286,111.07000000000002,['University of Yangon']
Where was Eileen Kato educated?,"So, like, where did Eileen Kato go to school and stuff?",0.1243035644292831,2.134285714285714,57.14285714285714,95.68818181818185,['Santa Clara University']
Where was Gordon Watson educated?,"Hey, so like, where did Gordon Watson go to school?",0.1443813890218734,2.0033333333333334,65.38461538461539,95.165,['Sydney Conservatorium of Music']
"Where was John Bradbury, 2nd Baron Bradbury educated?","Hey, so like, where did John Bradbury, that 2nd Baron dude, go to school?",0.0941344872117042,2.94625,68.42105263157895,89.89642857142859,['Westminster School']
Where was Miguel Kast educated?,"So, like, where did Miguel Kast go to school and stuff?",0.1180466040968895,2.134285714285714,57.14285714285714,103.37909090909092,['University of Chicago']
Where was James P. Pigott educated?,"Hey, so like, where did James P. Pigott go to school?",0.1541985124349594,1.717142857142857,67.85714285714286,101.2706818181818,['Yale Law School']
Where was Douglas Myers educated?,"So, like, where did Douglas Myers go to school?",0.1918108463287353,1.968333333333333,54.166666666666664,103.70000000000002,['Harvard Business School']
Where was Carla Harryman educated?,"Yo, so like, where did Carla Harryman go to school?",0.0733240321278572,1.731666666666667,65.38461538461539,86.70500000000001,['San Francisco State University']
Where was William Chapman educated?,"Hey, so like, where did William Chapman go to school?",0.1696482747793197,2.0033333333333334,65.38461538461539,95.165,['DePauw University']
Where was Harold Ridley educated?,"Hey, so like, where did Harold Ridley go to school?",0.145171046257019,2.0033333333333334,65.38461538461539,95.165,['New York University']
Where was Marvin Dunnette educated?,"Yo, where did Marvin Dunnette go to school?",0.3166950941085815,1.731666666666667,60.0,92.965,['University of Minnesota']
Where was Edward Barnard educated?,"So, like, where did Edward Barnard go to school, ya know?",0.0249006208032369,1.6862499999999998,53.333333333333336,95.68818181818185,['Eton College']
Where was Phyllis Turner educated?,"Yo, where did Phyllis Turner go to school, like for real?",0.0788308382034301,2.3200000000000003,67.85714285714286,95.68818181818185,['University of Adelaide']
Where was J. D. Greear educated?,"So, like, where did J. D. Greear go to school?",0.1748252213001251,1.687142857142857,57.69230769230769,118.85166666666667,['Campbell University']
Where was Burt Wendell Fansher educated?,"Hey, so like, where did Burt Wendell Fansher go to school?",0.1368449479341507,1.717142857142857,67.85714285714286,95.68818181818185,['Ontario Agricultural College']
Where was Dmitri Egorov educated?,"So, like, where did Dmitri Egorov go to school?",0.2221292853355407,1.968333333333333,54.166666666666664,84.90000000000003,['Moscow State University']
Where was Roy Baldwin educated?,"Hey, so like, where did Roy Baldwin go to school?",0.1396977752447128,2.0033333333333334,65.38461538461539,103.625,['Cornell University']
Where was Byron Franklin educated?,"So, like, where did Byron Franklin go to school?",0.1991509050130844,1.968333333333333,54.166666666666664,94.3,['Auburn University']
Where was W. Craig Broadwater educated?,"Yo, where did W. Craig Broadwater go to school?",0.3013023138046264,1.4842857142857144,63.63636363636363,98.8675,['West Virginia University']
Where was Timothy Shortell educated?,"So, like, where did Timothy Shortell go to school?",0.1971914172172546,2.5483333333333333,54.166666666666664,84.90000000000003,['Smith College']
Where was Dave Snowden educated?,"Hey, so like, where did Dave Snowden go to school?",0.1536964178085327,2.0033333333333334,65.38461538461539,103.625,['University of Lancaster']
Where was Ramona Persaud educated?,"So, like, where did Ramona Persaud go to school?",0.1981940269470214,1.968333333333333,54.166666666666664,84.90000000000003,['Ryerson University']
Where was Matthew Hale educated?,"So, like, where did Matthew Hale go to school, ya know?",0.0223696231842041,1.6862499999999998,53.333333333333336,103.37909090909092,['Hertford College']
Where was Wayne Peace educated?,"Hey, so like, where did Wayne Peace go to school?",0.1406564861536026,2.2733333333333334,57.69230769230769,112.085,['Lakeland Senior High School']
Where was Herbert Giersch educated?,"Yo, where did Herbert Giersch go to school?",0.3047619462013244,1.731666666666667,60.0,103.54,['University of Kiel']
Where was Janet Cobbs educated?,"Yo, where did Janet Cobbs go to school?",0.2785427570343017,1.731666666666667,60.0,103.54,['North Dakota State University']
Where was Sripada Pinakapani educated?,"Yo, where did Sripada Pinakapani go to school?",0.4079393148422241,1.731666666666667,60.0,50.66500000000002,['Andhra Medical College']
Where was John Truman Stoddert educated?,"Hey, so like, where did John Truman Stoddert go to school?",0.1599258780479431,2.2142857142857144,67.85714285714286,95.68818181818185,['Princeton University']
Where was Charles F. Marsh educated?,"Hey, so like, where did Charles F. Marsh go to school?",0.1530831903219223,2.41,67.85714285714286,108.96159090909092,['Lawrence University']
Where was Ozell Miller Trask educated?,"Hey, so like, where did Ozell Miller Trask go to school?",0.1215719357132911,2.2714285714285714,67.85714285714286,95.68818181818185,['Harvard Law School']
Where was Irving Louis Horowitz educated?,"Yo, where did that dude Irving Louis Horowitz go to school?",0.1523554474115371,1.79,69.23076923076923,87.99727272727276,['Columbia University']
Where was Thomas George Johnston educated?,"So, like, where did Thomas George Johnston go to school?",0.2016715258359909,1.687142857142857,57.69230769230769,95.165,['McGill University']
Where was Taku Aramasa educated?,"Hey, so like, where did Taku Aramasa go to school?",0.1375408619642257,2.0033333333333334,65.38461538461539,78.24500000000002,['Musashino Art University']
Where was James Argyle Smith educated?,"So, like, where did James Argyle Smith go to school, you know?",0.1835991293191909,2.1625,50.0,95.955,['United States Military Academy']
Where was José Antonio Ramos Sucre educated?,"So, like, where did José Antonio Ramos Sucre go to school, ya know?",0.038886971771717,1.3489999999999998,58.82352941176471,89.51692307692309,['Central University of Venezuela']
Where was Ned Colletti educated?,"Hey, so like, where did Ned Colletti go to school?",0.1454667150974273,2.0033333333333334,65.38461538461539,95.165,['Northern Illinois University']
Where was Frank Joseph Hughes educated?,"Hey, so like, where did Frank Joseph Hughes go to school?",0.143219456076622,2.0799999999999996,67.85714285714286,95.68818181818185,['Osgoode Hall Law School']
Where was Cora Diamond educated?,"Hey, so like, where did Cora Diamond go to school?",0.1402367651462555,2.818333333333334,65.38461538461539,95.165,['Swarthmore College']
Where was Gene D. Phillips educated?,"So, like, where did Gene D. Phillips go to school?",0.1843218207359314,2.1999999999999997,57.69230769230769,108.70000000000002,['Fordham University']
Where was Carl Stål educated?,"Yo, where did Carl Stål go to school?",0.3363977074623108,1.731666666666667,60.0,114.115,['Uppsala University']
Where was Adam Adamandy Kochański educated?,"Hey, so like, where did Adam Adamandy Kochański go to school?",0.1501220464706421,1.717142857142857,67.85714285714286,64.9245454545455,['Vilnius University']
Where was Ralph Pomeroy educated?,"Hey, so like, where did Ralph Pomeroy go to school?",0.1606324613094329,2.0033333333333334,65.38461538461539,95.165,['Wesleyan University']
Where was Maurice Bigelow educated?,"So, like, where did Maurice Bigelow go to school?",0.1767416894435882,1.968333333333333,54.166666666666664,84.90000000000003,['Harvard University']
Where was Les Merritt educated?,"Hey, where did Les Merritt go to school, ya know?",0.0346645079553127,1.7125,57.69230769230769,103.625,['North Carolina State University']
Where was Barbara Tversky educated?,"Hey, so like, where did Barbara Tversky go to school?",0.1574296951293945,2.0033333333333334,65.38461538461539,86.70500000000001,['University of Michigan']
Where was Susan Palwick educated?,"Hey, so like, where did Susan Palwick go to school?",0.1449197828769683,2.0033333333333334,65.38461538461539,95.165,['Princeton University']
Where was Robert Orville Anderson educated?,"Yo, where did Robert Orville Anderson go to school?",0.3981271982192993,1.4842857142857144,63.63636363636363,75.50000000000003,['BP']
Where was Anshel Brusilow educated?,"So, like, where did Anshel Brusilow go to school?",0.1691559702157974,1.968333333333333,54.166666666666664,84.90000000000003,['Curtis Institute of Music']
Where was Rob Teilhet educated?,"Hey, where did Rob Teilhet go to school, ya know?",0.0389598049223423,2.1475,57.69230769230769,103.625,['University of Georgia']
Where was Sanjay Ayre educated?,"So, like, where did Sanjay Ayre go to school?",0.1738536953926086,1.968333333333333,54.166666666666664,103.70000000000002,['Auburn University']
Where was Richard Attree educated?,"Yo, where did Richard Attree go to school?",0.3552221953868866,1.731666666666667,60.0,103.54,['Highgate School']
Where was Horatio Sheafe Krans educated?,"So, like, where'd Horatio Sheafe Krans go to school and stuff?",0.1317832022905349,1.784285714285714,56.666666666666664,95.955,['Columbia University']
Where was Peter Ballard educated?,"Hey, so like, where did Peter Ballard go to school?",0.1471000015735626,2.6166666666666667,65.38461538461539,95.165,['University of Durham']
Where was George K. Favrot educated?,"So, like, where did George K. Favrot go to school?",0.1887992024421692,1.687142857142857,57.69230769230769,108.70000000000002,['Louisiana State University']
Where was Georges Doriot educated?,"Hey, so like, where did Georges Doriot go to school?",0.1708180904388427,2.0033333333333334,65.38461538461539,95.165,['Harvard Business School']
Where was Jabez Huntington educated?,"Hey, so like, where did Jabez Huntington go to school?",0.1475091725587844,2.0033333333333334,65.38461538461539,86.70500000000001,['Yale University']
Where was Ry Russo-Young educated?,"Hey, so like, where did Ry Russo-Young go to school?",0.1289360374212265,2.0033333333333334,57.69230769230769,103.37909090909092,['Oberlin College']
Where was Fred Coe educated?,"Hey, so like, where did Fred Coe go to school?",0.1448969841003418,2.0033333333333334,65.38461538461539,112.085,['Yale School of Drama']
Where was Arthur Eisen educated?,"So, like, where did Arthur Eisen go to school and stuff?",0.1259735375642776,2.134285714285714,57.14285714285714,95.68818181818185,['Moscow Conservatory']
Where was Juan José Millás educated?,"Yo, where did Juan José Millás go to school?",0.3725805282592773,1.4842857142857144,63.63636363636363,113.10000000000002,['Complutense University of Madrid']
Where was William Seymour Tyler educated?,"Yo, where did William Seymour Tyler go to school?",0.3025144040584564,1.4842857142857144,63.63636363636363,84.90000000000003,['Amherst College']
Where was Richard Heffner educated?,"So, like, where did Richard Heffner go to school?",0.186613067984581,1.968333333333333,54.166666666666664,94.3,['Columbia University']
Where was Thomas Jameson educated?,"So, like, where did Thomas Jameson go to school?",0.2009436190128326,1.968333333333333,54.166666666666664,84.90000000000003,['University of Cambridge']
Where was Bill Gaston educated?,"Yo, where did Bill Gaston go to school at?",0.1827357858419418,2.5116666666666667,63.63636363636364,103.70000000000002,['University of British Columbia']
Where was Françoise Massardier-Kenney educated?,"So, like, where did Françoise Massardier-Kenney go to school?",0.2642970085144043,1.968333333333333,45.83333333333333,78.24500000000002,['Kent State University']
Where was Israel Bartal educated?,"Hey, so like, where did Israel Bartal go to school?",0.1439830362796783,2.0033333333333334,65.38461538461539,95.165,['Hebrew University of Jerusalem']
Where was Eugene Talmadge educated?,"Hey, where did Eugene Talmadge go to school, like, ya know?",0.0375198870897293,1.7125,53.333333333333336,95.68818181818185,['University of Georgia']
Where was Stephen Lowe educated?,"So, like, where did Stephen Lowe go to school?",0.173831045627594,1.968333333333333,54.166666666666664,103.70000000000002,['University of Birmingham']
Where was Freddy Keiaho educated?,"Yo, where did Freddy Keiaho go to school?",0.4198280870914459,1.731666666666667,60.0,92.965,['San Diego State University']
Where was Laurence Urdang educated?,"So, like, where did Laurence Urdang go to school?",0.1927571147680282,1.968333333333333,54.166666666666664,94.3,['Columbia University']
Where was Karin Maria Bruzelius educated?,"Yo, where did Karin Maria Bruzelius go to school?",0.298040360212326,1.4842857142857144,63.63636363636363,75.50000000000003,['Columbia Law School']
Where was Fraser Frisell educated?,"So, like, where did Fraser Frisell go to school?",0.1873427331447601,1.968333333333333,54.166666666666664,94.3,['University of Glasgow']
Where was G. Joseph Tauro educated?,"Hey, so like, where did G. Joseph Tauro go to school?",0.144837737083435,1.717142857142857,67.85714285714286,101.2706818181818,['Boston University']
Where was Channing H. Cox educated?,"So, like, where did Channing H. Cox go to school, ya know?",0.0239434633404016,1.4988888888888887,56.25,109.095,['Dartmouth College']
Where was Jeanette Pohlen educated?,"So, like, where did Jeanette Pohlen go to school?",0.2067362070083618,1.968333333333333,54.166666666666664,94.3,['Stanford University']
Where was Don Schaly educated?,"So, like, where did Don Schaly go to school?",0.1587715297937393,1.968333333333333,54.166666666666664,103.70000000000002,['Marietta College']
Where was Howard Klein educated?,"Hey, so like, where did Howard Klein go to school?",0.142470434308052,2.0033333333333334,65.38461538461539,103.625,['Juilliard School']
Where was Massimo Salvadori educated?,"So, like, where did Massimo Salvadori go to school?",0.193194642663002,1.968333333333333,54.166666666666664,66.10000000000002,['University of Geneva']
Where was David Ibarra Muñoz educated?,"Yo, where did David Ibarra Muñoz go to school?",0.4087276756763458,1.4842857142857144,63.63636363636363,75.50000000000003,['National Autonomous University of Mexico']
Where was Michael Uebel educated?,"So, like, where did Michael Uebel go to school or whatever?",0.146723985671997,1.968333333333333,53.57142857142857,80.30636363636367,['University of Virginia']
Where was Lawrence Lindemer educated?,"Hey, so like, where did Lawrence Lindemer go to school?",0.1515426933765411,2.0033333333333334,65.38461538461539,86.70500000000001,['University of Michigan']
Where was Robert Conny educated?,"So, like, where did Robert Conny go to school?",0.2001938074827194,1.968333333333333,54.166666666666664,94.3,['Magdalen College']
Where was Jaap Haartsen educated?,"Yo, where did Jaap Haartsen go to school?",0.3380357325077057,1.731666666666667,60.0,103.54,['Delft University of Technology']
Where was Ernest William Brady educated?,"Hey, so like, where did Ernest William Brady go to school?",0.1618008613586425,1.717142857142857,67.85714285714286,87.99727272727276,['University of St Andrews']
Where was Patrick K. Gamble educated?,"Yo, so like, where did Patrick K. Gamble go to school?",0.0635091885924339,1.937142857142857,67.85714285714286,108.96159090909092,['Texas A&M University']
Where was Ovid C. Lewis educated?,"Hey, so like, where did Ovid C. Lewis go to school?",0.1403820663690567,1.717142857142857,67.85714285714286,101.2706818181818,['Duke University']
"Where was Archibald Primrose, 5th Earl of Rosebery educated?","So, like, where did Archibald Primrose, the 5th Earl of Rosebery, go to school?",0.3307461142539978,2.3425,63.1578947368421,71.76785714285715,['Eton College']
Where was Walter Cruickshank educated?,"Hey, so like, where did Walter Cruickshank go to school?",0.1561765372753143,2.0033333333333334,65.38461538461539,95.165,['Cornell University']
Where was Anna S. Fisher educated?,"Hey, so like, where did Anna S. Fisher go to school?",0.1480762511491775,2.3200000000000003,67.85714285714286,101.2706818181818,['Pratt Institute']
Where was Louis Antoine de Noailles educated?,"So, like, where did Louis Antoine de Noailles go to school, ya know?",0.0438179597258567,1.4988888888888887,58.82352941176471,96.02461538461542,['University of Paris (1896-1968)']
Where was Frederick Head educated?,"Hey, so like, where'd Frederick Head go to school?",0.1057708412408828,2.864,61.53846153846153,95.165,['Emmanuel College']
Where was Colleen 'Cosmo' Murphy educated?,"Hey, so like, where did Colleen 'Cosmo' Murphy go to school?",0.1442898660898208,1.717142857142857,66.66666666666666,87.99727272727276,['New York University']
Where was William Addison educated?,"So, like, where did William Addison go to school?",0.2291458994150161,1.968333333333333,54.166666666666664,84.90000000000003,['Sarum College']
Where was John F. Follett educated?,"So, where did John F. Follett go to school?",0.4179946482181549,2.184285714285714,54.54545454545455,108.2675,['Marietta College']
Where was Robert R. McElroy educated?,"So, like, where did Robert R. McElroy go to school?",0.2087466567754745,1.687142857142857,57.69230769230769,100.24000000000002,['Ohio University']
Where was Lauson Stone educated?,"Hey, so like, where did Lauson Stone go to school, ya know?",0.0271700005978345,2.3025,62.5,103.005,['Columbia University']
Where was George Amos Poole educated?,"So, like, where did George Amos Poole go to school?",0.2049590945243835,1.687142857142857,57.69230769230769,103.625,['Yale University']
Where was James Pierpont educated?,"Hey, so like, where did James Pierpont go to school?",0.1542117297649383,2.0033333333333334,65.38461538461539,95.165,['Harvard University']
Where was Arve Solstad educated?,"Hey, so like, where did Arve Solstad go to school?",0.1521083563566208,2.0033333333333334,65.38461538461539,103.625,['University of Oslo']
Where was Edwin Gifford educated?,"Hey, so like, where did that dude Edwin Gifford go to school?",0.0928350910544395,2.2785714285714285,70.0,95.955,['Shrewsbury School']
Where was Masaharu Ōhashi educated?,"Yo, where did Masaharu Ōhashi go to school at?",0.2389763444662094,1.731666666666667,63.63636363636364,75.50000000000003,['Harvard Law School']
Where was Andrew McCutcheon educated?,"Yo, where did Andrew McCutcheon go to school?",0.2655614614486694,1.731666666666667,60.0,92.965,['University of Melbourne']
Where was Henry Augustus Pearson Torrey educated?,"Yo, where did Henry Augustus Pearson Torrey go to school at?",0.1637734919786453,1.29875,69.23076923076923,72.61545454545457,['University of Vermont']
Where was Keith Dowding educated?,"So, like, where did Keith Dowding go to school?",0.1823414117097854,1.968333333333333,54.166666666666664,103.70000000000002,['Australian National University']
Where was David Newman educated?,"So, like, where did David Newman go to school?",0.1719738692045211,1.968333333333333,54.166666666666664,94.3,['Hertford College']
Where was Sir Francis Arthur Vick educated?,"Hey, where did that Sir Francis Arthur Vick dude go to school?",0.2562612295150757,2.1166666666666667,71.42857142857143,95.955,['University of Birmingham']
Where was Billy Hunter educated?,"Hey, so like, where did Billy Hunter go to school?",0.1358821541070938,2.7383333333333333,65.38461538461539,95.165,['Syracuse University']
